identity30,sequences,delta
seq0001,11,0.020440020435580755
seq0005,14,0.02426781164113331
seq0006,5,0.09382006172134759
seq0008,9,0.041933592763830976
seq0009,6,0.2786689053428399
seq0024,11,0.031721335300604066
seq0036,15,-0.07191861687127411
seq0081,9,-0.04638780456755595
